Name,Genres
The Dreaming Boy Is a Realist,Animation; Anime; Comedy; Drama; Romance
The Dungeon of Black Company,Anime; Comedy; Fantasy
Durarara!!,Action & Adventure; Animation; Drama; Mystery; Krimi
Ein Gefühl namens Liebe,Animation; Komödie; Drama
Elainas Reise,Animation; Action & Adventure; Sci-Fi & Fantasy; Komödie
The Eminence in Shadow,Action; Animation; Anime; Comedy; Fantasy
"Erased: Die Stadt, in der es mich nicht gibt",Anime; Fantasy; Mystery; Suspense
Fairy Tail,Action; Adventure; Animation; Anime; Comedy; Fantasy
Farming Life in Another World,Animation; Komödie; Sci-Fi & Fantasy
Fate/Apocrypha,Action & Adventure; Animation; Drama; Sci-Fi & Fantasy
Fate/EXTRA Last Encore,Action & Adventure; Animation; Sci-Fi & Fantasy
Fate/Grand Order Absolute Demonic Front: Babylonia,Action & Adventure; Animation; Drama; Sci-Fi & Fantasy
Fate/Grand Order: First Order,Action; Anime; Fantasy
Fate/stay night: Unlimited Blade Works,Action & Adventure; Animation; Drama; Sci-Fi & Fantasy
Fate/strange Fake,Animation; Action & Adventure; Sci-Fi & Fantasy; Drama
Fate/Zero,Action & Adventure; Animation; Sci-Fi & Fantasy
Fatestay night Heavens Feel I  presage flower,
Fatestay night Heavens Feel II  lost butterfly,
Fatestay night Heavens Feel III  spring song,
Frieren - Nach dem Ende der Reise,Animation; Action & Adventure; Drama; Sci-Fi & Fantasy
"The Fruit of Evolution: Before I Knew It, My Life Had It Made",Animation; Komödie; Sci-Fi & Fantasy
Fullmetal Alchemist: Brotherhood,Action; Adventure; Animation; Anime; Comedy; Drama; Fantasy; Science Fiction
Gabriel Dropout,Animation; Anime; Comedy; Fantasy
Gachiakuta,Action; Anime; Fantasy
Gate,Action; Adventure; Animation; Anime; Fantasy
The Genius Prince's Guide to Raising a Nation Out of Debt,Animation; Komödie; Sci-Fi & Fantasy
"Girlfriend, Girlfriend",Animation; Komödie
Goblin Slayer,Action; Adventure; Animation; Anime; Fantasy; Horror; Thriller
The Greatest Demon Lord Is Reborn as a Typical Nobody,Animation; Action & Adventure; Sci-Fi & Fantasy
"The Healer Who Was Banished From His Party, Is, in Fact, the Strongest",Animation; Action & Adventure
Heavy Object,Action & Adventure; Animation; Sci-Fi & Fantasy
Hello World,Animation; Anime; Drama; Fantasy; Mystery; Science Fiction
Hell's Paradise,Action & Adventure; Animation; Sci-Fi & Fantasy
The Hentai Prince and the Stony Cat,Animation; Anime; Comedy; Fantasy; Romance
"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",Animation; Drama
High-Rise Invasion,Action; Anime; Horror; Mystery; Science Fiction; Thriller
Highschool D×D,Animation; Action & Adventure; Komödie; Sci-Fi & Fantasy
Highschool of the Dead,Action; Animation; Anime; Drama; Fantasy; Horror; Romance; Thriller
Hokkaido Gals Are Super Adorable!,Animation; Anime; Comedy; Romance
Horimiya -The Missing Pieces-,Animation; Anime; Comedy; Romance
Horimiya,Animation; Anime; Comedy; Romance
How a Realist Hero Rebuilt the Kingdom,Action; Adventure; Animation; Anime; Comedy; Drama; Fantasy; Romance
Hunter x Hunter,Animation; Action & Adventure; Sci-Fi & Fantasy
"I Got a Cheat Skill in Another World and Became Unrivaled in The Real World, Too",Action; Adventure; Animation; Anime; Fantasy; Romance
I Made Friends with the Second Prettiest Girl in My Class,Animation; Komödie; Drama
"I May Be a Guild Receptionist, but I’ll Solo Any Boss to Clock Out on Time",Action; Adventure; Animation; Anime; Comedy; Fantasy
I Parry Everything!,Action; Adventure; Animation; Anime; Comedy; Fantasy
I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability,Animation; Anime; Fantasy
I'm Quitting Heroing,Action; Adventure; Animation; Anime; Fantasy; Science Fiction
